id	text	label	dimension
S05_E16_329	apparently, teens are drinking the slushie stuff inside of these for the alcohol.	 inform	intent
S06_E06_589	we are the manager.	 introduce	intent
S06_E02_25	that is not true, marcus.	 oppose	intent
S05_E16_219	eh, if i did, i'd have to change it on my debit card too.	 leave	intent
S05_E19_506	yeah, he has, like, no respect for the permit.	 complain	intent
S05_E10_325	how are things going over there?	 care	intent
S05_E08_428	what is this you're sprinkling?	 care	intent
S05_E12_358	it's the business that we were gonna start.	 introduce	intent
S06_E07_601	you were a great roommate.	 praise	intent
S04_E17_434	i actually just bought some stock in a drone company.	 inform	intent
S05_E11_27	heather, you're in housewares.	 arrange	intent
S05_E14_54	oh, okay. no worries.	 comfort	intent
S05_E06_206	hey!	 greet	intent
S04_E10_375	there's, like, eight of us, that's more of a walk.	 complain	intent
S04_E08_105	hey, denise, these are friends of mine	 introduce	intent
S05_E08_418	yes, of course!	 agree	intent
S05_E08_149	hi, i'm amy sosa, store manager.	 introduce	intent
S04_E03_388	how am i supposed to work checkout?	 complain	intent
S06_E04_542	okay, all right, new rule: no one can be mad about whatever was said in this room, okay?	 inform	intent
S05_E12_32	hey, guys, myrtle's nephew just came in	 inform	intent
S04_E09_486	again, i'm sorry about the typo.	 apologise	intent
S05_E08_537	yeah.	 agree	intent
S05_E21_201	oh, we could get, like, a red bull fountain.	 advise	intent
S04_E16_494	sandra, code cottontail.	 inform	intent
S04_E13_472	you were the one who said he should be telling her.	 criticize	intent
S05_E08_337	mateo, give him the gift card.	 arrange	intent
S04_E03_84	this one smells like peanut butter.	 introduce	intent
S05_E16_27	also there's a product locator, an inventory map	 inform	intent
S05_E15_258	kira moon from zephra will be  surprising  us	 inform	intent
S06_E05_74	yeah, you know, this is actually exactly	 agree	intent
S05_E06_229	thank you.	 thank	intent
S05_E17_95	oh, hey, glenn.	 greet	intent
S05_E08_489	glenn, take this down. sandra, keep going.	 arrange	intent
S05_E11_487	jonah, i wasted my afternoon in that meeting just to go along with your new cause	 complain	intent
S05_E07_189	anyone who ripped up their workbook has failed.	 inform	intent
S04_E07_301	why didn't you just shout,  hey glenn	 complain	intent
S05_E11_149	never forget how fun you are, jonah.	 taunt	intent
S05_E13_15	um, and jonah and justine, you get to help out tomorrow when the rest of the shipment comes in.	 arrange	intent
S05_E21_16	you're smart, hardworking	 praise	intent
S05_E13_80	that's crazy. you can't do that.	 prevent	intent
S04_E04_57	i'm doing very well.	 flaunt	intent
S05_E07_34	great, thanks. also, did you know	 thank	intent
S04_E09_398	and such a massive waste of time	 complain	intent
S05_E07_603	so maybe marcus could join us?	 advise	intent
S05_E08_126	you can donate to our toy drive.	 advise	intent
S05_E18_328	and you've taken him to a doctor, and he's doing fine?	 care	intent
S05_E10_491	sure, thanks.	 thank	intent
S05_E11_256	but i could really use the help.	 ask for help	intent
S05_E11_93	garrett, do you mind if i use your phone?	 ask for help	intent
S04_E16_287	he's been spotted in the vicinity.	 inform	intent
S06_E02_503	how's the search going?	 care	intent
S05_E16_358	why don't you buy the dryer balls?	 advise	intent
S05_E06_287	elias did a great job with the crepe paper, though.	 praise	intent
S05_E09_182	don't worry about it.	 comfort	intent
S04_E03_387	these customers are so handsome.	 praise	intent
S05_E08_100	no, things are good.	 comfort	intent
S05_E17_555	bye, jonah.	 leave	intent
S04_E06_155	i've never been so tired.	 complain	intent
S05_E08_17	hi, i'm mateo liwanag	 introduce	intent
S06_E09_229	it's actually super distracting.	 complain	intent
S05_E06_386	amazing. thank you, dina.	 thank	intent
S05_E20_236	turn all the screens in electronics to mtv.	 arrange	intent
S05_E13_216	okay, buddy, you're being weird.	 taunt	intent
S05_E07_556	turt-turt, we're out of here.	 leave	intent
S06_E06_26	no, it's that we no longer have to sanitize	 inform	intent
S05_E09_440	yeah, yeah, you're good. you got this.	 praise	intent
S06_E03_372	we can't trust him about anything.	 complain	intent
S05_E09_428	i'm just checking to see if he and mateo are hitting it off.	 care	intent
S04_E03_256	thank you for bringing that to my attention.	 thank	intent
S06_E05_215	cool, let's all give credit to jonah for janet's idea.	 praise	intent
S05_E14_493	i'm sorry.	 apologise	intent
S05_E18_27	oh, my god, he's so cute. my ovaries are exploding.	 praise	intent
S04_E08_91	the point is, sayid, you're home now.	 inform	intent
S04_E12_459	'cause he eats a lot of sugar, so he'd be the sweetest.	 joke	intent
S04_E17_151	we can see that, big guy. just get out of the way.	 prevent	intent
S06_E01_210	so, employees must wipe down the register and credit card machine after each customer	 inform	intent
S05_E19_341	hey, tommy, some guy with no pants just joined the protest.	 inform	intent
S05_E07_291	why, so you can steal a quart of our pink soap?	 criticize	intent
S05_E11_449	yeah, it feels kinda good.	 praise	intent
S06_E10_420	because the ducklings were having a tea party	 introduce	intent
S06_E01_260	oh, great, more reasons for the wet-lips to yell at me.	 taunt	intent
S05_E20_274	go ahead. don't worry, i've--i've--	 comfort	intent
S05_E06_16	uh, actually, i got tired of explaining	 complain	intent
S04_E11_508	what, so they can slap the other cheek?	 taunt	intent
S06_E07_328	kelly came over from fenton to cover a shift.	 inform	intent
S04_E12_380	because he thinks he's better than everyone else here.	 taunt	intent
S05_E07_264	i have zero control over my employees.	 complain	intent
S04_E07_112	why would we even do it? what're we doing it for?	 complain	intent
S04_E01_211	and for women, it's that i got taken advantage of?	 complain	intent
S06_E05_536	our corona tests came back negative.	 introduce	intent
S05_E10_406	and after all of that, we still can't afford rent	 complain	intent
S04_E06_75	my name's kimmer with a k.	 introduce	intent
S05_E08_217	you could tell 'em your story.	 advise	intent
S05_E08_502	sorry, i should really get going.	 leave	intent
S05_E06_12	you two are gonna be managing	 arrange	intent
S05_E14_207	there is still a lot that needs to get done, and it is crunch time.	 inform	intent
S06_E02_252	it wasn't- it wasn't that.	 oppose	intent
S06_E07_455	and it's the best thing that's ever happened to me.	 flaunt	intent
S04_E06_365	that's an interesting choice.	 praise	intent
S04_E14_273	excuse me, folks, can everyone gather up?	 inform	intent
S05_E20_265	glenn, you smell scared. what's up?	 care	intent
S05_E16_477	dina, i am sorry that i said nobody likes you.	 apologise	intent
S06_E01_87	but for now, they want everybody to know that,  we value our employees' dedication.	 inform	intent
S04_E13_406	thank you.	 thank	intent
S05_E09_522	test the shelves, make sure they, um	 arrange	intent
S05_E08_525	jonah, why are you filming this?	 criticize	intent
S05_E14_161	hey, dina. everything okay?	 care	intent
S05_E07_297	yep.	 agree	intent
S05_E06_94	you could eat yourself to death and no one would care.	 joke	intent
S05_E14_261	here, take my card. there's a link to the web--	 introduce	intent
S05_E16_212	maybe you should just mute her.	 advise	intent
S05_E02_65	look, i know you like to be everyone's but that's not how i live my life.	 oppose	intent
S04_E17_350	it's a traditional honduran food.	 introduce	intent
S06_E01_21	so i'm still gonna be working with you guys.	 inform	intent
S04_E06_441	i am dealing with a lot today.	 complain	intent
S04_E13_300	can't you just cover it up?	 advise	intent
S05_E11_505	oh, that's so sweet.	 praise	intent
S04_E05_491	yeah. thank you.	 thank	intent
S05_E10_327	she's out of commission for the rest of the day	 inform	intent
S05_E12_327	thanks.	 thank	intent
S05_E21_89	you have to have a party.	 advise	intent
S05_E15_94	classy move, zephra.	 praise	intent
S06_E01_438	this man is harassing me	 criticize	intent
S06_E03_498	for instance, i think we should stagger our shift start times	 advise	intent
S06_E03_67	i mean, dusty mint stinks.	 complain	intent
S05_E16_538	sorry, that sounded really callous.	 apologise	intent
S05_E17_554	sandra, could you bring home some magazines?	 ask for help	intent
S06_E09_597	nice job.	 praise	intent
S05_E11_503	what's wrong with your head?	 care	intent
S05_E13_26	we haven't even gotten a chance to talk yet.	 complain	intent
S05_E21_518	what's going on here?	 care	intent
S05_E11_382	what if we call it  the octagon.	 advise	intent
S06_E01_495	amy might have abandoned us a little, but we're fine!	 comfort	intent
S05_E10_161	need any help with whatever this is?	 care	intent
S04_E14_440	blaine is sexy, but he is not a good manager.	 criticize	intent
S05_E13_369	well, i am gonna show her just how many items	 inform	intent
S05_E21_98	sorry.	 apologise	intent
S04_E08_358	that guy's always making up stuff about people.	 criticize	intent
S06_E10_454	i have been nervously holding my pee for six hours	 complain	intent
S06_E01_32	whoa! the nba just announced they're suspending the season.	 inform	intent
S04_E16_366	also, what's with the weirdly intimate stares?	 complain	intent
S05_E14_446	damn it, dina. you had one job.	 complain	intent
S05_E07_153	attention employees. uh, listen up.	 inform	intent
S06_E01_412	hey, amy, i dropped my mask...	 inform	intent
S06_E02_320	well, i'm sure you'll figure something out.	 comfort	intent
S05_E08_246	yeah, just traveling the world shirtless.	 joke	intent
S04_E04_168	hey man, why did you have to point out this stupid halloween song?	 complain	intent
S06_E08_118	why did this happen? am i a bad person?	 complain	intent
S05_E17_542	hey, jerry.	 greet	intent
S04_E11_166	no, no, no, no, no. don't help him.	 prevent	intent
S05_E07_24	hey, guys, sorry to give you a scare there.	 apologise	intent
S04_E04_333	my jewish bird joke is so good	 flaunt	intent
S06_E02_113	thanks!	 thank	intent
S04_E12_337	game of thrones  season one	 introduce	intent
S05_E07_345	okay.	 agree	intent
S05_E21_305	how about everybody's got roller skates	 advise	intent
S05_E21_481	hey.	 greet	intent
S05_E11_188	that's--that's a good thing.	 praise	intent
S05_E14_200	you go. get ready.	 arrange	intent
S05_E11_399	perhaps going forward,we could all focus on--on the issues that we have here at--at work.	 advise	intent
S05_E13_530	oh, thank you.	 thank	intent
S04_E14_411	hey, so i guess we're just out of green beans.	 inform	intent
S06_E04_568	it's gonna be all about the moon before you know it.	 inform	intent
S06_E03_220	so we're gonna let the people decide.	 inform	intent
S05_E19_283	i'll get right on it. sorry, boss.	 leave	intent
S06_E05_127	anyway, the point is i'm just so sorry.	 apologise	intent
S06_E03_462	oh, and you're not allowed to shop here anymore.	 inform	intent
S04_E04_85	i'll reach out to the manufacturer.	 inform	intent
S05_E11_440	thank you.	 thank	intent
S05_E10_44	while i waste my talents in the vision center.	 complain	intent
S06_E08_475	then why were you yelling at him when it happened?	 criticize	intent
S04_E04_220	this same song keeps playing over and over again, and it's starting to drive me crazy.	 complain	intent
S05_E16_571	um, i'm gonna go make a call	 leave	intent
S04_E16_261	you have got to stop watching this.	 prevent	intent
S05_E08_7	i am in the middle of something, dummy.	 criticize	intent
S05_E13_25	the time difference with ghana is so tricky.	 complain	intent
S05_E14_48	and my liver is on high alert.	 inform	intent
S05_E11_120	you just need to go up to her and go	 advise	intent
S04_E05_77	i'm dr. sidian, i'm the attending on the floor.	 introduce	intent
S05_E11_266	look, sandra, i think maybe she needs to hear it from you.	 advise	intent
S05_E21_312	yo, don't write that down.	 prevent	intent
S05_E09_259	and apologize to customers when these two can't hack it.	 arrange	intent
S04_E10_171	but don't let it wear you out.	 inform	intent
S04_E08_92	and on behalf of everyone in america, we welcome you.	 inform	intent
S05_E08_61	this week, enjoy 20% off	 inform	intent
S05_E14_522	everything okay?	 care	intent
S06_E09_6	i'm sorry, guys.	 apologise	intent
S05_E15_454	i think ellen degeneres dances too much!	 complain	intent
S04_E13_262	oh, listen, you--you do not have to worry about that, okay?	 comfort	intent
S04_E16_528	and i think it's pretty messed up	 complain	intent
S04_E04_397	okay then, contest back on.	 inform	intent
S05_E14_337	jonah, what are you doing?	 care	intent
S05_E15_3	zephra has sent us a little break room upgrade	 inform	intent
S05_E14_380	but you're going to be fine.	 comfort	intent
S05_E13_388	who cares? who cares? don't worry about it.	 comfort	intent
S05_E15_455	it's unprofessional!	 complain	intent
S05_E12_181	and i just wanted to tell you that dina... passed away.	 inform	intent
S05_E17_391	oh, that is awesome.	 praise	intent
S05_E13_89	um, it's the display for the new zephra products.	 introduce	intent
S04_E01_480	all right, guys, well, this is your last chance	 inform	intent
S05_E08_520	well, technically, you can suck it!	 criticize	intent
S04_E16_52	happy easter.	 inform	intent
S05_E15_197	why is everybody being so cynical about this?	 complain	intent
S05_E10_458	oh, that does sound nice.	 praise	intent
S05_E15_289	that's embarrassing.	 complain	intent
S05_E16_525	you would know if you didn't make me skip to the end of the story!	 criticize	intent
S05_E12_217	it's best to just pretend you've passed out, okay?	 advise	intent
S04_E08_137	okay, here are your lanyards and your room keys.	 inform	intent
S06_E01_246	the ink's starting to turn our butts weird colors.	 complain	intent
S05_E18_83	mm-hmm, and his proportions are a dream.	 praise	intent
S05_E15_453	i think i voted wrong!	 complain	intent
S06_E04_486	so i say turn every golf course into a solar farm.	 advise	intent
S04_E03_13	sorry for accidentally texting you that nude.	 apologise	intent
S05_E17_526	our people are struggling, amy.	 complain	intent
S05_E07_384	i'm just a dumb, useless butt.	 complain	intent
S05_E11_378	why don't we set some ground rules	 advise	intent
S05_E08_32	yeah, i think so.	 agree	intent
S05_E08_122	excuse me, where do you keep your transformers?	 ask for help	intent
S06_E04_64	you're taking a trip to bruise town.	 arrange	intent
S05_E11_3	zephra is just our new parent company.	 inform	intent
S05_E13_79	okay, no, no. mateo, no.	 prevent	intent
S04_E07_368	see? this is easy for me.	 flaunt	intent
S05_E08_148	yep, they gotta go.	 leave	intent
S05_E10_73	you doing okay with all this?	 care	intent
S05_E15_74	he's a scam artist.	 inform	intent
S05_E13_480	this whole interview process was a fake.	 complain	intent
S04_E02_302	all right, well, i'll see y'all later.	 leave	intent
S05_E12_294	i just hope that you don't go around	 advise	intent
S05_E15_132	fine!	 agree	intent
S05_E07_426	for a very special parade.	 inform	intent
S04_E04_53	my feet are so swollen i can barely stand.	 complain	intent
S05_E09_252	i haven't even been able to go on instagram.	 complain	intent
S05_E13_166	i just found out that, um, i got a work permit.	 inform	intent
S04_E07_429	you are grossly incompetent and unpleasant to be around	 criticize	intent
S06_E05_12	effective immediately, cloud 9 will no longer keep black haircare products in locked cases.	 inform	intent
S06_E03_613	and i do have an update on the breadsticks.	 inform	intent
S06_E09_354	but you haven't because you're afraid	 taunt	intent
S05_E16_248	i'm so fricking cold.	 complain	intent
S06_E03_597	did you get hurt before?	 care	intent
S05_E12_128	this is a pyramid scheme.	 complain	intent
S05_E12_452	hey, dina, your dad's looking for you.	 inform	intent
S06_E08_486	do you want us to give you a trophy?	 taunt	intent
S06_E06_44	anyway, dina, don't worry about it.	 comfort	intent
S04_E06_460	i am wearing frozen diapers	 complain	intent
S05_E09_290	hey, sweetie. hey, garrett.	 greet	intent
S05_E08_229	you stole my mark?	 criticize	intent
S05_E21_110	oh, i don't think it's that.	 oppose	intent
S05_E08_239	molly, hand these out, please.	 arrange	intent
S06_E02_250	okay, cool, 'cause you seemed uncomfortable	 care	intent
S05_E17_574	you should go find justine.	 advise	intent
S04_E03_164	on behalf of store 1217, it is my privilege	 flaunt	intent
S04_E09_139	god, you're a fast learner.	 praise	intent
S05_E18_298	your faces look like butts.	 taunt	intent
S04_E05_179	i--i like it here. that other hospital was snobby.	 complain	intent
S04_E02_406	how about we keep this party train rolling	 advise	intent
S05_E17_468	you're gorgeous really, for your cohort.	 praise	intent
S05_E20_489	the margs are here.	 inform	intent
S06_E02_291	i will see you, uh, in a little bit.	 leave	intent
S05_E07_96	yeah, that sounds fun. i'm in.	 agree	intent
S04_E11_450	i got clipped by a kia on the highway, amy!	 complain	intent
S04_E03_239	you shoved me, amy! what is wrong with you?	 criticize	intent
S05_E08_322	you win it in a raffle or something?	 taunt	intent
S05_E16_352	hello?	 greet	intent
S06_E04_68	can you please switch me anywhere?	 ask for help	intent
S05_E15_41	yes!	 agree	intent
S04_E17_284	thank you for those kind words, jonah.	 thank	intent
S04_E03_119	oh! absolutely. without a doubt.	 agree	intent
S06_E02_509	feels pretty bad.	 complain	intent
S04_E16_8	spring frozen yogurt flavors, check.	 inform	intent
S06_E05_515	oh, wow. yeah--thanks.	 thank	intent
S04_E11_312	but i logged 8,000 steps.	 flaunt	intent
S04_E06_37	i'm just exhausted and sore and hormonal	 complain	intent
S05_E14_248	oh, thanks.	 thank	intent
S06_E09_15	now, we've noticed some of your masks are getting dingy.	 inform	intent
S06_E08_3	that this is made out of polyvinyl chloride	 introduce	intent
S05_E02_112	i even went out and bought a camera phone.	 flaunt	intent
S04_E04_73	i'm 'gerry mander'.these are all gerrymander.	 introduce	intent
S05_E12_86	hey, glenn, how you holding up?	 care	intent
S05_E17_464	i was definitely not flirting.	 oppose	intent
S04_E03_401	i'm carol, i'm a jealous psycho stalker who can't take	 taunt	intent
S05_E14_103	okay, i'm going to hit the little cowboys' room.	 leave	intent
S05_E15_410	but don't worry, i have a solution.	 comfort	intent
S05_E11_330	give them a voice, you know?	 advise	intent
S04_E12_160	okay, we have no idea how long we're gonna be stuck here, so we need to ration our food.	 inform	intent
S06_E04_400	what, so because i'm manager, i have to help people poop their emotions all over the place?	 complain	intent
S05_E10_512	because corporate sucks and everybody always sucks.	 complain	intent
S05_E07_134	good.	 praise	intent
S06_E01_200	okay, um, some good news.	 inform	intent
S06_E03_555	so starting tomorrow, you will do what i tell you to do	 arrange	intent
S04_E14_148	glenn, it's--it's going to be okay.	 comfort	intent
S04_E13_305	you've never been sarcastic with me before.	 criticize	intent
S04_E01_77	these are all excellent ideas, thank you.	 praise	intent
S04_E02_109	you could always return this one for a safer car seat.	 advise	intent
S05_E20_88	filled up on bread  is gonna go on her gravestone.	 joke	intent
S05_E09_273	what i need from the two of you is less of this	 taunt	intent
S05_E21_240	really fresh perspective.	 praise	intent
S05_E08_150	hi.	 greet	intent
S05_E07_118	that will fit jerry's big ol' melon.	 joke	intent
S05_E06_418	amy, you need to go change into leather sandy right now.	 arrange	intent
S05_E07_550	hey, you guys. i'm sorry, bo.	 apologise	intent
S05_E19_124	well, why don't you just hire somebody on busybee?	 advise	intent
S04_E16_300	they're gross.	 complain	intent
S05_E14_467	carol, you can't do that!	 prevent	intent
S05_E13_377	sandra, block her with your body!	 arrange	intent
S05_E07_267	you just need to find a way to show maya that you mean business.	 advise	intent
S04_E03_169	yes. it's one of cloud 9's highest honors.	 inform	intent
S05_E06_138	look, it's... it's almost done. you don't have to worry.	 comfort	intent
S05_E16_333	we're a little delayed because amy was busy mean-girling me.	 criticize	intent
S04_E08_534	so, i ran your social security.	 inform	intent
S04_E01_433	what a stupid waste of a first question.	 complain	intent
S05_E19_161	sayid doesn't want to work in housewares.	 inform	intent
S06_E02_297	yeah--oh, hey, i apologize for jonah's murder joke.	 apologise	intent
S04_E02_202	you're a good friend.	 praise	intent
S04_E14_6	i am stepping down to spend more time with my family.	 inform	intent
S06_E04_66	dina, you have justine and me at the same register	 inform	intent
S06_E06_361	fine.	 agree	intent
S05_E06_15	on whatever dumb metaphor his costume's supposed to be.	 taunt	intent
S04_E09_278	we don't have room for that.	 complain	intent
S06_E02_231	she seems...really nice.	 praise	intent
S05_E17_431	how is stealing packages from poor people	 criticize	intent
S04_E04_322	i was legitimately offended.	 complain	intent
S05_E15_36	wait, wait.	 prevent	intent
S05_E07_333	green beans are now the normal price.	 inform	intent
S05_E10_164	ooh, amy, how's union stuff going?	 care	intent
S06_E04_547	but i've never seen anyone worse at this job.	 praise	intent
S05_E20_538	all right, garrett, give everyone their money back, and then all of you get back to work.	 arrange	intent
S05_E16_222	hey, man.	 greet	intent
S04_E07_135	this is who we're visiting.	 introduce	intent
S04_E06_39	and i'm wearing pajamas, and i'm just a mess.	 complain	intent
S05_E21_459	hey, mateo, can i ask you something	 ask for help	intent
S05_E13_287	you know what? i'm tired of everybody thinking of me as just your boyfriend, okay? even garrett sees me like that.	 complain	intent
S06_E01_114	just pick a conditioner and keep moving.	 arrange	intent
S04_E02_247	hey.	 greet	intent
S04_E10_168	yeah, no, i'm sorry.	 apologise	intent
S05_E15_464	i'm going to the chesterfield store	 leave	intent
S05_E17_347	your total is $26.17.	 inform	intent
S06_E06_550	take a breath, man. you're not getting fired.	 comfort	intent
S05_E18_423	stop saying that. all moms are full-time moms.	 prevent	intent
S05_E20_77	i'm sorry for the jargon, jonah.	 apologise	intent
S05_E12_51	it's the way of the world. the rich get richer.	 complain	intent
S05_E13_529	so your new desk is gonna be here in three days.	 inform	intent
S05_E10_24	relax. i honestly think this is all gonna work out.	 comfort	intent
S05_E15_25	okay, mateo, on three. ready?	 arrange	intent
S05_E15_306	the zephra corporate guidelines and look up what it says	 advise	intent
S05_E10_464	it's a great color.	 praise	intent
S05_E16_291	we have to put out red label warnings.	 inform	intent
S05_E09_198	he seems super cool.	 praise	intent
S04_E01_493	dina! it went great!	 praise	intent
S04_E07_394	yes, thank you for all the help.	 thank	intent
S06_E07_569	dina assigned me to hang out with you today	 inform	intent
S04_E16_389	me amy. me prep for 5k.	 joke	intent
S05_E13_53	so you're gonna have to find someone yourself to cover.	 advise	intent
S04_E17_403	okay, okay, it's--it's--it's gonna be okay.	 comfort	intent
S05_E10_386	it's not your fault that you don't get the ins and outs	 comfort	intent
S05_E16_575	well, i'm gonna go do something else then.	 leave	intent
S04_E08_114	relax, they vet these guys for years.	 comfort	intent
S05_E16_102	you should really change that back, dina.	 advise	intent
S05_E07_526	don't worry. i'm not gonna squirt anyone.	 comfort	intent
S05_E16_293	dina, you can't just text me something like that.	 criticize	intent
S05_E13_498	okay, well, how about weekends off?	 advise	intent
S04_E08_506	and they get paid ten times as much as us.	 complain	intent
S06_E02_478	well, it's still very cool.	 praise	intent
S05_E09_287	you should meet him.	 advise	intent
S04_E10_467	there's a blank spot where you can write in your name.	 inform	intent
S05_E09_235	i don't consent to this conversation.	 oppose	intent
S04_E02_187	oh, i don't see how that could possibly be true.	 complain	intent
S05_E15_409	well, sounds like you got a lot going on	 care	intent
S05_E07_262	it doesn't even matter.	 complain	intent
S05_E10_223	or do your customers also prefer cashiers with tendinitis?	 taunt	intent
S05_E17_314	why don't you read the note?	 advise	intent
S06_E03_606	oh, i'm sorry.	 apologise	intent
S05_E14_117	but then we just did a bunch of whip-its in the dj's van, and it was great.	 praise	intent
S05_E09_378	yeah, i'm sorry, but there's no order here.	 apologise	intent
S05_E18_96	the prizes are in the cereal!	 inform	intent
S05_E10_216	yeah, thanks. i'm--i'm just browsing today.	 thank	intent
S06_E10_525	don't feel guilty.	 comfort	intent
S04_E01_500	and so i delegated, and i problem-solved	 flaunt	intent
S04_E07_69	wait, what are you doing? don't--don't put it back.	 prevent	intent
S06_E08_62	sure you're gonna be okay?	 care	intent
S05_E07_342	it's got a secret ingredient.	 introduce	intent
S05_E20_283	i left all my felt tips uncapped in the security office,and those are just gonna be drying out like crazy,so i just need to go.	 leave	intent
S04_E10_464	all right, everybody, you did it	 inform	intent
S05_E08_555	you look way too happy.	 taunt	intent
S04_E06_304	okay, i'm sorry. proceed.	 apologise	intent
S06_E09_580	thank you.	 thank	intent
S05_E17_219	yeah, actually, it would be really helpful	 praise	intent
S04_E13_201	it's called  you can do it.	 introduce	intent
S04_E05_269	oh, it's so clean and comfortable.	 praise	intent
S04_E16_467	you're the ones who have been sitting in here, talking about me behind my back.	 criticize	intent
S04_E02_535	oh, finally. come get me down.	 ask for help	intent
S05_E21_424	that's great.	 praise	intent
S06_E06_212	i'm so sorry, sandra.	 apologise	intent
S04_E10_6	uh, i'm amy sosa.	 introduce	intent
S05_E10_92	thank you.	 thank	intent
S05_E16_456	whoa, calm down.	 comfort	intent
S05_E19_224	oh, my god. don't touch it.	 prevent	intent
S05_E14_289	this place has line dancing at 10:00	 inform	intent
S05_E08_562	um, well, i like when jerry cooks me my favorite meal.	 praise	intent
S05_E02_24	absolutely not.	 oppose	intent
S04_E10_31	we should--we'll just go.	 leave	intent
S05_E10_123	don't worry.	 comfort	intent
S05_E06_406	security office, now!	 inform	intent
S05_E16_53	i just don't love handing giant corporations a way to get my address, my contacts, and all of my passwords.	 complain	intent
S04_E16_521	see you at glenn's show.	 leave	intent
S04_E07_201	oh, come on. give me some credit.	 complain	intent
S05_E09_588	how's curbside going?	 care	intent
S06_E02_36	okay, we're gonna be in this meeting forever	 inform	intent
S05_E15_535	you lied about mental distress?	 criticize	intent
S06_E10_509	okay. they left the break room.	 inform	intent
S06_E10_4	now, cloud 9's lawyer will also be present.	 inform	intent
S05_E08_321	how did you become manager?	 taunt	intent
S05_E02_25	engagement party is not a maid of honor duty.	 oppose	intent
S05_E13_320	sandra, no. you leave it up.	 arrange	intent
S04_E16_180	but instead, he mocks me behind my back.	 complain	intent
S06_E04_604	how do you feel, justine?	 care	intent
S05_E10_3	here, to remind you.	 inform	intent
S04_E08_272	anyway, i'm definitely the legal kind.	 flaunt	intent
S05_E14_61	no, no, take your time.	 comfort	intent
S04_E12_367	can you stop doing that?	 prevent	intent
S05_E07_545	so how'd it go?	 care	intent
S05_E17_221	yeah, sure.	 agree	intent
S05_E20_386	listen, i'm-i'm really sorry.	 apologise	intent
S04_E13_481	well, too bad!	 complain	intent
S06_E06_45	they're towing it right now.	 inform	intent
S06_E04_590	i'm sorry.	 apologise	intent
S04_E08_463	i might have to go to the men's room first.	 leave	intent
S05_E18_257	yes, like a parlor.	 agree	intent
S05_E16_494	again, we are so, so sorry.	 apologise	intent
S04_E06_390	unfortunately, the last spot has been filled.	 inform	intent
S05_E18_37	okay, cheyenne, sandra, you're serving	 arrange	intent
S05_E10_14	walk away so they know you're serious.	 advise	intent
S05_E07_381	means you're fired.	 inform	intent
S05_E08_250	you need to move on.	 advise	intent
S05_E18_189	lifesaver.	 thank	intent
S06_E05_280	oh, whoa! no, no, no! don't actually scoot in.	 prevent	intent
S05_E17_444	why don't we just give them some cash?	 advise	intent
S05_E11_367	it has recently come to my attention that there are some men in the store who have some issues	 inform	intent
S05_E15_585	hey, thanks for taking a chance on me.	 thank	intent
S06_E08_236	feels like i'm buying a gremlin.	 joke	intent
S04_E06_236	why don't you use the lactation room?	 advise	intent
S05_E20_93	glenn, this is dr. brian patterson, veterinarian and boyfriend.	 introduce	intent
